Date,Close
1/2/2014 16:00:00,14.36
1/3/2014 16:00:00,14.38
1/6/2014 16:00:00,14.2
1/7/2014 16:00:00,14.09
1/8/2014 16:00:00,13.93
1/9/2014 16:00:00,14.13
1/10/2014 16:00:00,14.2
1/13/2014 16:00:00,14.16
1/14/2014 16:00:00,14.08
1/15/2014 16:00:00,14.28
1/16/2014 16:00:00,14.46
1/17/2014 16:00:00,14.29
1/20/2014 16:00:00,14.47
1/21/2014 16:00:00,14.4
1/22/2014 16:00:00,14.34
1/23/2014 16:00:00,14.32
1/24/2014 16:00:00,14.07
1/28/2014 16:00:00,13.89
1/29/2014 16:00:00,13.92
1/30/2014 16:00:00,13.88
1/31/2014 16:00:00,14.18
2/3/2014 16:00:00,14.24
2/4/2014 16:00:00,14.12
2/5/2014 16:00:00,14.2
2/6/2014 16:00:00,14.2
2/7/2014 16:00:00,14.23
2/10/2014 16:00:00,14.55
2/11/2014 16:00:00,14.64
2/12/2014 16:00:00,14.71
2/13/2014 16:00:00,14.8
2/14/2014 16:00:00,14.77
2/17/2014 16:00:00,14.89
2/18/2014 16:00:00,14.92
2/20/2014 16:00:00,14.85
2/21/2014 16:00:00,14.7
2/24/2014 16:00:00,14.68
2/25/2014 16:00:00,14.6
2/26/2014 16:00:00,14.51
2/27/2014 16:00:00,14.49
2/28/2014 16:00:00,14.5
3/3/2014 16:00:00,14.65
3/4/2014 16:00:00,14.55
3/5/2014 16:00:00,14.55
3/6/2014 16:00:00,14.5
3/7/2014 16:00:00,14.48
3/10/2014 16:00:00,14.28
3/11/2014 16:00:00,14.11
3/12/2014 16:00:00,14.2
3/13/2014 16:00:00,14.25
3/14/2014 16:00:00,14.16
3/17/2014 16:00:00,14.25
3/18/2014 16:00:00,14.19
3/19/2014 16:00:00,14.19
3/20/2014 16:00:00,14.28
3/21/2014 16:00:00,14.3
3/24/2014 16:00:00,14.29
3/25/2014 16:00:00,14.22
3/26/2014 16:00:00,14.15
3/27/2014 16:00:00,14.26
3/28/2014 16:00:00,14.25
3/31/2014 16:00:00,14.2
4/1/2014 16:00:00,14.21
4/2/2014 16:00:00,14.47
4/3/2014 16:00:00,14.34
4/4/2014 16:00:00,14.38
4/7/2014 16:00:00,14.15
4/8/2014 16:00:00,13.98
4/9/2014 16:00:00,13.8
4/10/2014 16:00:00,13.83
4/11/2014 16:00:00,13.85
4/14/2014 16:00:00,13.58
4/15/2014 16:00:00,13.5
4/16/2014 16:00:00,13.8
4/17/2014 16:00:00,13.85
4/22/2014 16:00:00,13.81
4/23/2014 16:00:00,13.84
4/24/2014 16:00:00,13.76
4/28/2014 16:00:00,13.65
4/29/2014 16:00:00,13.42
4/30/2014 16:00:00,13.41
5/1/2014 16:00:00,13.33
5/2/2014 16:00:00,13.42
5/5/2014 16:00:00,13.39
5/6/2014 16:00:00,13.4
5/7/2014 16:00:00,13.47
5/8/2014 16:00:00,13.41
5/9/2014 16:00:00,13.38
5/12/2014 16:00:00,13.45
5/13/2014 16:00:00,13.48
5/14/2014 16:00:00,13.4
5/15/2014 16:00:00,13.37
5/16/2014 16:00:00,12.98
5/19/2014 16:00:00,12.94
5/20/2014 16:00:00,13.01
5/21/2014 16:00:00,13.12
5/22/2014 16:00:00,13.21
5/23/2014 16:00:00,13.4
5/26/2014 16:00:00,13.73
5/27/2014 16:00:00,13.7
5/28/2014 16:00:00,13.69
5/29/2014 16:00:00,13.69
5/30/2014 16:00:00,13.6
6/2/2014 16:00:00,13.55
6/3/2014 16:00:00,13.38
6/4/2014 16:00:00,13.37
6/5/2014 16:00:00,13.35
6/6/2014 16:00:00,13.66
6/10/2014 16:00:00,13.58
6/11/2014 16:00:00,13.57
6/12/2014 16:00:00,13.62
6/13/2014 16:00:00,13.62
6/16/2014 16:00:00,13.66
6/17/2014 16:00:00,13.68
6/18/2014 16:00:00,13.58
6/19/2014 16:00:00,13.58
6/20/2014 16:00:00,13.6
6/23/2014 16:00:00,13.6
6/24/2014 16:00:00,13.57
6/25/2014 16:00:00,13.49
6/26/2014 16:00:00,13.47
6/27/2014 16:00:00,13.5
6/30/2014 16:00:00,13.67
7/1/2014 16:00:00,13.62
7/2/2014 16:00:00,13.84
7/3/2014 16:00:00,14.04
7/4/2014 16:00:00,14.16
7/7/2014 16:00:00,14.09
7/8/2014 16:00:00,14.38
7/9/2014 16:00:00,14.35
7/10/2014 16:00:00,14.21
7/11/2014 16:00:00,14.32
7/14/2014 16:00:00,14.33
7/15/2014 16:00:00,14.43
7/16/2014 16:00:00,14.49
7/17/2014 16:00:00,14.24
7/18/2014 16:00:00,14.21
7/21/2014 16:00:00,14.29
7/22/2014 16:00:00,14.28
7/23/2014 16:00:00,14.29
7/24/2014 16:00:00,14.25
