Date,Close
1/2/2014 16:00:00,35.7
1/3/2014 16:00:00,35.29
1/6/2014 16:00:00,35.1
1/7/2014 16:00:00,34.77
1/8/2014 16:00:00,34.61
1/9/2014 16:00:00,34.55
1/10/2014 16:00:00,34.05
1/13/2014 16:00:00,34.16
1/14/2014 16:00:00,33.77
1/15/2014 16:00:00,33.57
1/16/2014 16:00:00,34.41
1/17/2014 16:00:00,35.41
1/20/2014 16:00:00,35.51
1/21/2014 16:00:00,35.46
1/22/2014 16:00:00,35.16
1/23/2014 16:00:00,34.61
1/24/2014 16:00:00,34.61
1/28/2014 16:00:00,33.93
1/29/2014 16:00:00,34.45
1/30/2014 16:00:00,34.28
1/31/2014 16:00:00,34.17
2/3/2014 16:00:00,34.05
2/4/2014 16:00:00,33.17
2/5/2014 16:00:00,32.97
2/6/2014 16:00:00,33.24
2/7/2014 16:00:00,33.72
2/10/2014 16:00:00,34.11
2/11/2014 16:00:00,34.15
2/12/2014 16:00:00,34.76
2/13/2014 16:00:00,34.87
2/14/2014 16:00:00,35.24
2/17/2014 16:00:00,35.53
2/18/2014 16:00:00,36.34
2/20/2014 16:00:00,36.16
2/21/2014 16:00:00,36.6
2/24/2014 16:00:00,36.8
2/25/2014 16:00:00,36.54
2/26/2014 16:00:00,36.05
2/27/2014 16:00:00,35.86
2/28/2014 16:00:00,35.86
3/3/2014 16:00:00,34.95
3/4/2014 16:00:00,34.91
3/5/2014 16:00:00,35.32
3/6/2014 16:00:00,35.19
3/7/2014 16:00:00,35.25
3/10/2014 16:00:00,33.79
3/11/2014 16:00:00,33.57
3/12/2014 16:00:00,33.63
3/13/2014 16:00:00,34.01
3/14/2014 16:00:00,33.32
3/17/2014 16:00:00,33.14
3/18/2014 16:00:00,33.71
3/19/2014 16:00:00,33.51
3/20/2014 16:00:00,32.89
3/21/2014 16:00:00,33.25
3/24/2014 16:00:00,33.4
3/25/2014 16:00:00,33.57
3/26/2014 16:00:00,34.15
3/27/2014 16:00:00,33.62
3/28/2014 16:00:00,33.77
3/31/2014 16:00:00,34.08
4/1/2014 16:00:00,34.62
4/2/2014 16:00:00,34.92
4/3/2014 16:00:00,35.07
4/4/2014 16:00:00,35.28
4/7/2014 16:00:00,35.27
4/8/2014 16:00:00,35.4
4/9/2014 16:00:00,35.88
4/10/2014 16:00:00,35.42
4/11/2014 16:00:00,35.15
4/14/2014 16:00:00,34.91
4/15/2014 16:00:00,35.3
4/16/2014 16:00:00,35.45
4/17/2014 16:00:00,35.6
4/22/2014 16:00:00,35.52
4/23/2014 16:00:00,35.7
4/24/2014 16:00:00,35.77
4/28/2014 16:00:00,35.39
4/29/2014 16:00:00,35.14
4/30/2014 16:00:00,35.28
5/1/2014 16:00:00,35.04
5/2/2014 16:00:00,34.83
5/5/2014 16:00:00,35.03
5/6/2014 16:00:00,35.19
5/7/2014 16:00:00,34.73
5/8/2014 16:00:00,35.18
5/9/2014 16:00:00,34.89
5/12/2014 16:00:00,34.72
5/13/2014 16:00:00,35.47
5/14/2014 16:00:00,35.79
5/15/2014 16:00:00,35.75
5/16/2014 16:00:00,35.58
5/19/2014 16:00:00,34.98
5/20/2014 16:00:00,34.99
5/21/2014 16:00:00,34.73
5/22/2014 16:00:00,35.18
5/23/2014 16:00:00,35.18
5/26/2014 16:00:00,35.42
5/27/2014 16:00:00,35.41
5/28/2014 16:00:00,35.5
5/29/2014 16:00:00,35.03
5/30/2014 16:00:00,34.58
6/2/2014 16:00:00,34.19
6/3/2014 16:00:00,34.01
6/4/2014 16:00:00,33.79
6/5/2014 16:00:00,33.83
6/6/2014 16:00:00,33.86
6/10/2014 16:00:00,33.9
6/11/2014 16:00:00,33.58
6/12/2014 16:00:00,33.37
6/13/2014 16:00:00,32.98
6/16/2014 16:00:00,33.28
6/17/2014 16:00:00,33.04
6/18/2014 16:00:00,32.97
6/19/2014 16:00:00,34.04
6/20/2014 16:00:00,33.59
6/23/2014 16:00:00,34.06
6/24/2014 16:00:00,34.07
6/25/2014 16:00:00,33.84
6/26/2014 16:00:00,34.11
6/27/2014 16:00:00,34.03
6/30/2014 16:00:00,33.55
7/1/2014 16:00:00,33.64
7/2/2014 16:00:00,34.43
7/3/2014 16:00:00,34.79
7/4/2014 16:00:00,35.11
7/7/2014 16:00:00,35.2
7/8/2014 16:00:00,35.13
7/9/2014 16:00:00,34.81
7/10/2014 16:00:00,34.96
7/11/2014 16:00:00,35.12
7/14/2014 16:00:00,35.38
7/15/2014 16:00:00,35.54
7/16/2014 16:00:00,35.74
7/17/2014 16:00:00,36.02
7/18/2014 16:00:00,35.87
7/21/2014 16:00:00,35.71
7/22/2014 16:00:00,35.99
7/23/2014 16:00:00,36.42
7/24/2014 16:00:00,36.5
7/25/2014 16:00:00,36.44
7/28/2014 16:00:00,36.54
7/29/2014 16:00:00,36.5
7/30/2014 16:00:00,36.44
7/31/2014 16:00:00,36.14
8/1/2014 16:00:00,35.89
8/4/2014 16:00:00,35.79
8/5/2014 16:00:00,35.52
8/6/2014 16:00:00,35.81
8/7/2014 16:00:00,35.95
8/8/2014 16:00:00,35.27
8/11/2014 16:00:00,35.53
